,Fixture_ID,Season,Competition,Date,Home_Team,Away_Team,Score
0,12649002,2012-13,DIV5,25/05/13,Old Brentwoods IV,Old Foresters IV,8 - 4
1,12649001,2012-13,DIV5,18/05/13,Old Brentwoods IV,Old Brentwoods III,5 - 3
2,12637620,2012-13,PREM,11/05/13,Lancing Old Boys,KCS Old Boys,1 - 1
3,12639446,2012-13,PREM,11/05/13,Old Etonians,Old Chigwellians,4 - 0
4,12639447,2012-13,DIV1,11/05/13,Old Malvernians,Old Haileyburians,1 - 3
5,12631497,2012-13,DIV2,11/05/13,Old Cholmeleians II,Lancing Old Boys II,4 - 1
6,12639448,2012-13,DIV3,11/05/13,Old Wykehamists II,Old Marlburians,1 - 6
7,12631636,2012-13,DIV4,11/05/13,Old Amplefordians,Old Westminsters II,"Away Walkover
										
										A - W"
8,12643281,2012-13,DIV5,11/05/13,Old Brentwoods IV,Old Foresters III,2 - 0
9,12632423,2012-13,DIV5,11/05/13,Old Foresters IV,Old Citizens,1 - 6
10,12641287,2012-13,PREM,05/05/13,Old Brentwoods,Old Carthusians,2 - 6
11,12614177,2012-13,PREM,04/05/13,KCS Old Boys,Old Etonians,1 - 5
12,12631463,2012-13,PREM,04/05/13,Old Carthusians,Old Brentwoods,5 - 3
13,12636819,2012-13,DIV1,04/05/13,Old Westminsters,Old Haileyburians,0 - 0
14,12636926,2012-13,DIV1,04/05/13,Old Wykehamists,Old King's Scholars,7 - 1
15,12631499,2012-13,DIV2,04/05/13,Old Carthusians III,Old Carthusians II,0 - 0
16,12631496,2012-13,DIV2,04/05/13,Old Cholmeleians II,Old Chigwellians II,4 - 1
17,12631503,2012-13,DIV3,04/05/13,Old Marlburians,Kings College Wimbledon II,1 - 7
18,12632422,2012-13,DIV5,04/05/13,Old Brentwoods IV,Old Citizens,3 - 6
19,12633239,2012-13,DIV5,04/05/13,Old Foresters III,Old Brentwoods III,2 - 1
20,12631493,2012-13,DIV2,28/04/13,Old Cholmeleians II,Old Carthusians III,1 - 1
21,12636584,2012-13,DMVP,28/04/13,Old Etonians,Old Harrovians,"1 - 1 
										
											
(Pens 5-4, HT 1-1)"
22,12636588,2012-13,DMVC,28/04/13,Lancing Old Boys,Old Salopians,3 - 1
23,12631466,2012-13,PREM,27/04/13,Lancing Old Boys,Old Cholmeleians,2 - 0
24,12621535,2012-13,PREM,27/04/13,Old Cholmeleians,Lancing Old Boys,0 - 2
25,12621536,2012-13,PREM,27/04/13,Old Etonians,Old Foresters,1 - 4
26,12621537,2012-13,PREM,27/04/13,Old Harrovians,KCS Old Boys,3 - 2
27,12636925,2012-13,DIV1,27/04/13,Old Malvernians,Old Bradfieldians,3 - 1
28,12617658,2012-13,DIV2,27/04/13,Old Wellingtonians,Old Haberdashers,1 - 2
29,12629953,2012-13,DIV2,27/04/13,Lancing Old Boys II,Old Chigwellians II,0 - 1
30,12638917,2012-13,DIV2,27/04/13,Old Carthusians III,Old Salopians II,"Home Walkover
										
										H - W"
31,12631507,2012-13,DIV3,27/04/13,Old Marlburians,Old Harrovians II,3 - 1
32,12631514,2012-13,DIV4,27/04/13,Old Amplefordians,Old Epsomians,2 - 3
33,12631515,2012-13,DIV4,27/04/13,Old Cholmeleians III,Old Berkhamstedians,0 - 1
34,12632421,2012-13,DIV5,27/04/13,Old Brentwoods III,Old Citizens,0 - 6
35,12626282,2012-13,DIV5,27/04/13,Old Cholmeleians IV,Old Brentwoods IV,3 - 1
36,12632424,2012-13,DIV5,27/04/13,Old Foresters IV,Old Foresters III,2 - 2
37,12634427,2012-13,FRE,27/04/13,Old Millhillians,Old Sennockians,4 - 1
38,12614180,2012-13,PREM,20/04/13,KCS Old Boys,Old Foresters,4 - 4
39,12614179,2012-13,PREM,20/04/13,Old Chigwellians,Old Harrovians,0 - 1
40,12631451,2012-13,PREM,20/04/13,Old Cholmeleians,Old Brentwoods,2 - 4
41,12617649,2012-13,DIV1,20/04/13,Old Malvernians,Old King's Scholars,4 - 1
42,12617650,2012-13,DIV1,20/04/13,Old Salopians,Old Bradfieldians,2 - 2
43,12617657,2012-13,DIV2,20/04/13,Old Wellingtonians,Old Chigwellians II,2 - 3
44,12623384,2012-13,DIV3,20/04/13,Old Harrovians II,Kings College Wimbledon II,1 - 0
45,12631111,2012-13,DIV3,20/04/13,Old Wykehamists II,Old Etonians II,0 - 6
46,12626278,2012-13,DIV4,20/04/13,Old Eastbournians,Old Chigwellians III,0 - 2
47,12631513,2012-13,DIV4,20/04/13,Old Amplefordians,Old Cholmeleians III,0 - 3
