Team_1,Team_2,Team_1_goals,Team_2_goals,Total_goals,ALFIE_rating,Total_games
AFC Oldsmiths,Old Salopians II,1,2,3,4.0,1
AFC Representative Team,Arthurian League Representative Team,15,13,28,3.5,6
Actonians Association,Old Etonians,1,0,1,3.0,1
Actonians Association VII,Old Haberdashers,4,3,7,4.0,1
Actonians Association VIII,Old Haberdashers,1,11,12,0.0,1
Albanian FC,Old Aldenhamians,1,0,1,3.0,1
Albanian FC,Old Aldenhamians II,2,5,7,2.0,1
Albanian FC,Old Brentwoods III,0,6,6,0.0,1
Albanian FC,Old Carthusians II,0,5,5,0.0,1
Albanian FC,Old Chigwellians II,4,3,7,4.0,1
Albanian FC,Old Chigwellians Vets,3,7,10,3.3333333333333335,3
Albanian FC,Old Cholmeleians II,17,7,24,2.75,4
Albanian FC,Old Columbans,7,4,11,3.0,1
Albanian FC,Old Foresters,1,3,4,3.0,1
Albanian FC,Old Foresters II,6,1,7,0.0,1
Albanian FC,Old Salopians,2,1,3,4.0,1
Albanian V,Old Haberdashers,0,4,4,1.0,1
Albanian Vets,Old Foresters Vets,2,6,8,2.0,1
Aldenham School 1st XI,Old Aldenhamians,14,6,20,2.5,4
Aldenham School 2nd XI,Old Aldenhamians II,11,1,12,1.5,2
Alexandra Park FC,Old Alleynians AFC,0,7,7,0.0,1
Alexandra Park FC,Old Bradfieldians,0,1,1,3.0,1
Alexandra Park FC,Old Carthusians,2,4,6,3.0,1
Alexandra Park FC,Old Salopians II,3,2,5,4.0,1
Alleyn Old Boys,Kings College Wimbledon II,5,4,9,5.0,1
Alleyn Old Boys,Lancing Old Boys,4,0,4,1.0,1
Alleyn Old Boys,Old Aldenhamians II,6,2,8,2.0,1
Alleyn Old Boys,Old Brentwoods II,3,1,4,3.0,1
Alleyn Old Boys,Old Carthusians,0,1,1,3.0,1
Alleyn Old Boys,Old Carthusians III,2,1,3,4.0,1
Alleyn Old Boys,Old Chigwellians Vets,0,1,1,3.0,1
Alleyn Old Boys,Old Cholmeleians III,1,2,3,4.0,1
Alleyn Old Boys,Old Etonians,6,4,10,2.0,2
Alleyn Old Boys,Old King's Scholars,5,0,5,0.0,1
Alleyn Old Boys,Old Rugbeians,3,1,4,3.0,1
Alleyn Old Boys,Old Salopians,3,1,4,3.0,1
Alleyn Old Boys III,KCS Old Boys II,3,2,5,4.0,1
Altis,Old Chigwellians,4,1,5,2.0,1
Altis,Old Foresters,2,2,4,5.0,1
Ampleforth College 1st XI,Old Amplefordians,5,8,13,3.0,3
Arthurian League Representative Team,AFC Representative Team,13,15,28,3.5,6
Arthurian League Representative Team,Forest School 1st XI,3,2,5,4.0,1
Arthurian League Representative Team,Herts Senior County League,9,7,16,3.3333333333333335,3
Arthurian League Representative Team,Lloyds of London Representative Team,14,4,18,2.75,4
Arthurian League Representative Team,Oxford University Football Club,2,3,5,4.0,1
Arthurian League Representative Team,Royal Navy Development XI,8,4,12,3.3333333333333335,3
Arthurian League Representative Team,SAL Representative Team,7,2,9,3.0,3
Arthurian League Representative Team,Southern Amateur League Rep XI,6,7,13,3.0,4
Atletico Trotters Vets,Old Chigwellians Vets Blues,2,5,7,2.0,1
BB Eagles,Kings College Wimbledon II,0,2,2,2.0,1
Bancroft's School 1st XI,Old Bancroftians AFC,1,12,13,1.3333333333333333,3
Bank of England,Old Ardinians,4,2,6,3.0,1
Bank of England,Old Brentwoods IV,1,1,2,4.0,1
Bank of England,Old Carthusians,0,3,3,2.0,1
Bank of England,Old Etonians,0,2,2,2.0,1
Bank of England,Old Haberdashers,1,0,1,3.0,1
Bealonians,Lancing Old Boys,0,6,6,0.0,1
Bealonians,Old Aldenhamians II,6,2,8,2.0,1
Bealonians,Old Bancroftians AFC,0,5,5,0.0,1
Bealonians,Old Brentwoods,8,1,9,2.6666666666666665,3
Bealonians,Old Brentwoods II,1,5,6,2.0,1
Bealonians,Old Carthusians III,1,3,4,3.0,1
Bealonians,Old Cholmeleians,1,1,2,4.0,1
Bealonians,Old Columbans,5,7,12,4.5,2
Bealonians,Old Etonians,4,4,8,3.0,2
Bealonians,Old Etonians II,0,5,5,2.0,2
Bealonians,Old Foresters,2,2,4,3.5,2
Bealonians,Old Foresters III,5,3,8,4.0,1
Bealonians,Old King's Scholars,2,1,3,4.0,1
Bealonians,Old Merchant Taylors',8,0,8,0.0,1
Bealonians II,Old Brentwoods II,2,4,6,3.0,1
Bealonians VII,Old Brentwoods IV,2,1,3,4.0,1
Bealonians VII,Old Merchant Taylors II,4,5,9,5.0,1
Bealonians VIII,Old Merchant Taylors II,3,9,12,0.0,1
Beder FC,Old Alleynians AFC,10,10,20,7.0,1
Blackheath Wanderers (Youth) First Team,Old Citizens,3,2,5,4.0,1
Bradfield College,Old Bradfieldians,4,10,14,3.25,4
Brent,Old Reptonians,0,5,5,0.0,1
Brentwood School 1st XI,Old Brentwoods,17,32,49,3.1333333333333333,15
Brentwood School 2nd XI,Old Brentwoods II,42,41,83,2.066666666666667,15
Brentwood School 3rd XI,Old Brentwoods III,32,42,74,2.8666666666666667,15
Brentwood School 4th XI,Old Brentwoods IV,15,15,30,2.625,8
Brentwood School 4th XI,Old Brentwoods Vets,0,0,0,4.0,2
Brentwood School 5th XI,Old Brentwoods Vets,16,5,21,3.25,4
Bromleians,Old Carthusians,0,7,7,0.0,1
Broomfield FC,Old Brentwoods III,5,5,10,6.0,1
Broomfield FC,Old Foresters,1,6,7,0.0,1
Broomfield FC,Old Foresters II,7,7,14,6.0,1
Broomfield FC,Old Salopians,4,2,6,3.0,1
Brymans Park FC,Old Brentwoods III,2,3,5,4.0,1
Cambridge Heath,Old Foresters,1,2,3,4.0,1
Canning Town Vets,Old Chigwellians Vets Blues,5,3,8,4.0,1
Carshalton,Old Carthusians III,3,2,5,4.0,1
Carshalton,Old Westminsters,0,2,2,2.0,1
Charterhouse School 1st XI,Old Carthusians,5,38,43,1.4285714285714286,7
Charterhouse School 1st XI,Old Carthusians III,1,3,4,3.0,1
Charterhouse School 2nd XI,Old Carthusians II,8,10,18,4.0,7
Charterhouse School 3rd XI,Old Carthusians III,9,20,29,2.4,5
Chelmsford City Reserves,Old Foresters,2,1,3,4.0,1
Cheltenham College 1st XI,Old Cheltonians,3,4,7,4.0,1
Chigwell School 1st XI,Old Chigwellians,0,3,3,3.0,2
Chigwell School 2nd XI,Old Chigwellians II,0,0,0,4.0,2
Chigwell School 3rd XI,Old Chigwellians III,3,3,6,4.5,2
Chingford Athletic,Old Foresters,5,8,13,2.0,2
Citigroup,Old Reptonians,1,3,4,3.0,1
City of London,Kings College Wimbledon II,6,3,9,3.0,1
City of London,Old Cholmeleians,0,6,6,0.0,1
Civil Service,Old Carthusians,2,1,3,4.0,1
Civil Service,Old Foresters,3,1,4,3.0,1
Civil Service II,Kings College Wimbledon II,8,1,9,0.0,1
Civil Service II,Old Chigwellians II,4,1,5,2.0,1
Civil Service III,Old Carthusians III,0,1,1,3.0,1
Civil Service III,Old Westminsters II,7,0,7,0.0,1
Clapham Old Xaverians,Old Carthusians,1,9,10,1.0,2
Clapham Old Xaverians,Old Epsomians,1,0,1,3.0,1
Clapham Rovers,Old Carthusians,0,3,3,2.0,1
Clissold Park Rangers,Old Alleynians AFC,2,2,4,5.0,1
Clissold Park Rangers,Old Rugbeians,1,2,3,4.0,1
Corinthian-Casuals,Lancing Old Boys,6,8,14,3.75,4
Crouch End Vampires,Old Brentwoods,1,4,5,2.0,1
Croxley Green Vets,Old Chigwellians Vets Blues,0,3,3,2.0,1
Donnington Wanderers,Old Epsomians,4,4,8,6.0,1
Dorkinians,KCS Old Boys,1,0,1,3.0,1
Dorkinians,Old Carthusians,9,8,17,4.0,3
Dulwich College 1st XI,Old Alleynians,1,5,6,2.0,1
Dulwich College 1st XI,Old Alleynians AFC,10,17,27,3.4,5
Dulwich College 2nd XI,Old Alleynians AFC II,0,5,5,2.6666666666666665,3
Dulwich College 2nd XI,Old Alleynians II,0,0,0,4.0,1
Dulwich College 3rd XI,Old Alleynians AFC III,0,5,5,0.0,1
Dulwich College 3rd XI,Old Alleynians III,0,0,0,4.0,1
Earls Colne,Old Foresters,5,3,8,4.0,1
Earlsfield FC,Old Cholmeleians,1,5,6,2.0,1
Earlsfield United,Old Epsomians,9,2,11,0.0,1
East Barnet Old Grammarians,Old Brentwoods II,1,5,6,2.0,1
East Barnet Old Grammarians,Old Chigwellians,0,8,8,0.0,1
East Barnet Old Grammarians,Old Chigwellians II,1,3,4,3.0,1
East Barnet Old Grammarians,Old Harrovians II,0,3,3,2.0,1
East Barnet Old Grammarians,Old Merchant Taylors,1,1,2,4.0,1
East Barnet Old Grammarians,Old Merchant Taylors II,1,1,2,4.0,1
East Barnet Old Grammarians III,Old Chigwellians II,1,4,5,2.0,1
East Barnet Old Grammarians IV,Old Haberdashers,3,6,9,3.0,1
Economicals,KCS Old Boys,3,8,11,2.5,2
Economicals,Lancing Old Boys,2,1,3,4.0,1
Economicals,Old Carthusians,0,3,3,2.0,1
Economicals,Old Carthusians II,2,2,4,5.0,1
Economicals,Old Carthusians III,1,2,3,4.0,1
Economicals,Old Salopians II,1,2,3,4.0,1
Economicals III,Old Epsomians,2,1,3,4.0,1
Egbertian FC,Old Aldenhamians,4,7,11,3.0,1
Egbertian FC,Old Bancroftians AFC,2,3,5,4.0,1
Egbertian FC,Old Cholmeleians II,4,1,5,2.0,1
Egbertian FC,Old Westminsters II,0,1,1,3.0,1
Enfield Old Grammarians,Old Aldenhamians II,7,0,7,0.0,1
Enfield Old Grammarians,Old Brentwoods,2,4,6,3.0,1
Enfield Old Grammarians,Old Carthusians,1,4,5,2.0,1
Enfield Old Grammarians,Old Carthusians II,2,6,8,2.0,1
Enfield Old Grammarians,Old Carthusians III,1,5,6,2.0,1
Enfield Old Grammarians,Old Etonians II,5,9,14,3.0,2
Enfield Old Grammarians,Old Foresters,1,2,3,4.0,1
Enfield Old Grammarians,Old Foresters Vets,1,8,9,0.0,1
Enfield Old Grammarians III,Old Merchant Taylors,5,0,5,0.0,1
Enfield Old Grammarians Vets,Old Brentwoods Vets,0,1,1,3.0,1
Epsom College 1st XI,Old Epsomians,11,14,25,4.0,6
Epsom College 2nd XI,Old Epsomians II,0,0,0,4.0,1
Eton College 1st XI,Old Etonians,20,26,46,3.857142857142857,14
Eton College 2nd XI,Old Etonians II,17,9,26,3.2,10
Eton College 3rd XI,Old Etonians Vets,5,3,8,4.0,1
FC Brotherhood,Old Cholmeleians,1,1,2,4.0,1
Forest Green,Old Westminsters,4,7,11,3.0,1
Forest School 1st XI,Arthurian League Representative Team,2,3,5,4.0,1
Forest School 1st XI,Old Foresters,3,18,21,2.5,6
Forest School 1st XI,Old Foresters II,12,6,18,3.3333333333333335,3
Forest School 2nd XI,Old Foresters II,2,2,4,4.333333333333333,3
Forest School 3rd XI,Old Foresters III,1,5,6,2.0,1
Fulham Compton Old Boys,Old Alleynians,2,3,5,4.0,1
Fulham Compton Old Boys,Old Carthusians II,1,0,1,3.0,1
Fulham Compton Old Boys,Old Carthusians III,2,4,6,3.0,1
Fulham Compton Old Boys,Old Cholmeleians,3,0,3,2.0,1
Fulham Compton Old Boys,Old Eastbournians,3,4,7,4.0,1
Fulham Compton Old Boys,Old Malvernians,5,0,5,0.0,1
Fulham Compton Old Boys II,Old Cholmeleians II,4,1,5,2.0,1
Galleywood Reserves,Old Chigwellians II,2,1,3,4.0,1
Gas Recreation FC,Old Foresters,3,1,4,3.0,1
Globe Rangers,Old Aldenhamians,5,5,10,3.0,2
Globe Rangers,Old Brentwoods,2,5,7,2.0,1
Globe Rangers,Old Cholmeleians,0,1,1,3.0,1
Globe Rangers,Old Foresters,3,13,16,0.0,2
Globe Rangers,Old Reptonians,1,3,4,3.0,1
Globe Rangers Vets 2nd,Old Chigwellians Vets,3,7,10,2.0,1
Glyn Old Boys,KCS Old Boys,8,6,14,4.5,2
Glyn Old Boys,Old Ardinians,4,2,6,3.0,1
Glyn Old Boys,Old Chigwellians,3,2,5,4.0,1
Glyn Old Boys,Old Etonians II,1,0,1,3.0,1
Glyn Old Boys,Old Sennockians,2,0,2,2.0,1
Glynn Old Boys II,Old Carthusians II,4,1,5,2.0,1
Glynn Old Boys II,Old Etonians II,0,1,1,3.0,1
Haberdashers Aske School 1st XI,Old Haberdashers,20,12,32,2.7142857142857144,7
Haileybury College,Old Haileyburians,6,7,13,3.5,2
Hale End Athletic,Old Brentwoods II,3,4,7,4.0,1
Hale End Athletic,Old Brentwoods III,7,2,9,0.0,1
Hale End Athletic,Old Carthusians II,5,0,5,0.0,1
Hale End Athletic,Old Carthusians III,2,2,4,5.0,1
Hale End Athletic,Old Chigwellians,3,1,4,3.0,1
Hale End Athletic,Old Chigwellians Vets,2,4,6,3.0,1
Hale End Athletic,Old Cholmeleians,2,8,10,3.0,3
Hale End Athletic,Old Foresters II,2,3,5,4.0,1
Hale End Athletic,Old Millfieldians,2,1,3,4.0,1
Hale End Athletic,Old Reptonians,1,0,1,3.0,1
Hale End Athletic,Old Westminsters II,7,1,8,0.0,1
Halstead Town Vets,Old Chigwellians Vets Blues,2,3,5,4.0,1
Hampstead Heathens,Old Aldenhamians,1,2,3,4.0,1
Harold Wood FC,Old Brentwoods,1,7,8,0.0,1
Harrow School 1st XI,Old Harrovians,8,15,23,3.625,8
Harrow School 2nd XI,Old Harrovians II,8,13,21,3.888888888888889,9
Harrow School 3rd XI,Old Harrovians III,8,9,17,4.285714285714286,7
Heathrow Seniors,Old Aldenhamians,3,2,5,4.0,1
Heathrow Seniors,Old Carthusians III,0,5,5,0.0,1
Hedinghams United,Old Foresters,1,6,7,0.0,1
Herts Senior County League,Arthurian League Representative Team,7,9,16,3.3333333333333335,3
