Fixture_ID,Team_1,Team_2,Team_1_goals,Team_2_goals,ALFIE_rating,Total_goals
12649002,Old Brentwoods IV,Old Foresters IV,8,4,2.0,12
12649001,Old Brentwoods IV,Old Brentwoods III,5,3,4.0,8
12637620,Lancing Old Boys,KCS Old Boys,1,1,4.0,2
12639446,Old Etonians,Old Chigwellians,4,0,1.0,4
12639447,Old Malvernians,Old Haileyburians,1,3,3.0,4
12631497,Old Cholmeleians II,Lancing Old Boys II,4,1,2.0,5
12639448,Old Wykehamists II,Old Marlburians,1,6,0.0,7
12643281,Old Brentwoods IV,Old Foresters III,2,0,2.0,2
12632423,Old Foresters IV,Old Citizens,1,6,0.0,7
12641287,Old Brentwoods,Old Carthusians,2,6,2.0,8
12614177,KCS Old Boys,Old Etonians,1,5,2.0,6
12631463,Old Carthusians,Old Brentwoods,5,3,4.0,8
12636819,Old Westminsters,Old Haileyburians,0,0,4.0,0
12636926,Old Wykehamists,Old King's Scholars,7,1,0.0,8
12631499,Old Carthusians III,Old Carthusians II,0,0,4.0,0
12631496,Old Cholmeleians II,Old Chigwellians II,4,1,2.0,5
12631503,Old Marlburians,Kings College Wimbledon II,1,7,0.0,8
12632422,Old Brentwoods IV,Old Citizens,3,6,3.0,9
12633239,Old Foresters III,Old Brentwoods III,2,1,4.0,3
12631493,Old Cholmeleians II,Old Carthusians III,1,1,4.0,2
12636584,Old Etonians,Old Harrovians,1,1,4.0,2
12636588,Lancing Old Boys,Old Salopians,3,1,3.0,4
12631466,Lancing Old Boys,Old Cholmeleians,2,0,2.0,2
12621535,Old Cholmeleians,Lancing Old Boys,0,2,2.0,2
12621536,Old Etonians,Old Foresters,1,4,2.0,5
12621537,Old Harrovians,KCS Old Boys,3,2,4.0,5
12636925,Old Malvernians,Old Bradfieldians,3,1,3.0,4
12617658,Old Wellingtonians,Old Haberdashers,1,2,4.0,3
12629953,Lancing Old Boys II,Old Chigwellians II,0,1,3.0,1
12631507,Old Marlburians,Old Harrovians II,3,1,3.0,4
12631514,Old Amplefordians,Old Epsomians,2,3,4.0,5
12631515,Old Cholmeleians III,Old Berkhamstedians,0,1,3.0,1
12632421,Old Brentwoods III,Old Citizens,0,6,0.0,6
12626282,Old Cholmeleians IV,Old Brentwoods IV,3,1,3.0,4
12632424,Old Foresters IV,Old Foresters III,2,2,5.0,4
12634427,Old Millhillians,Old Sennockians,4,1,2.0,5
12614180,KCS Old Boys,Old Foresters,4,4,6.0,8
12614179,Old Chigwellians,Old Harrovians,0,1,3.0,1
12631451,Old Cholmeleians,Old Brentwoods,2,4,3.0,6
12617649,Old Malvernians,Old King's Scholars,4,1,2.0,5
12617650,Old Salopians,Old Bradfieldians,2,2,5.0,4
12617657,Old Wellingtonians,Old Chigwellians II,2,3,4.0,5
12623384,Old Harrovians II,Kings College Wimbledon II,1,0,3.0,1
12631111,Old Wykehamists II,Old Etonians II,0,6,0.0,6
12626278,Old Eastbournians,Old Chigwellians III,0,2,2.0,2
12631513,Old Amplefordians,Old Cholmeleians III,0,3,2.0,3
12626281,Old Cholmeleians IV,Old Brentwoods III,2,3,4.0,5
12624797,Old Carthusians,Old Wykehamists,4,0,1.0,4
12624787,Lancing Old Boys II,Old Carthusians III,0,1,3.0,1
12629939,Old Citizens,Old Westminsters II,1,2,4.0,3
12634426,Old Millhillians,Old Stoics,1,1,4.0,2
12614178,Lancing Old Boys,Old Carthusians,0,1,3.0,1
12614174,Old Brentwoods,Old Tonbridgians,4,1,2.0,5
12614175,Old Cholmeleians,Old Harrovians,6,4,4.0,10
12614176,Old Foresters,Old Chigwellians,0,2,2.0,2
12617646,Old Aldenhamians,Old Bradfieldians,2,5,2.0,7
12617647,Old King's Scholars,Old Westminsters,3,2,4.0,5
12617648,Old Malvernians,Old Wykehamists,1,4,2.0,5
12617654,Old Cholmeleians II,Old Reptonians,1,3,3.0,4
12617656,Old Salopians II,Old Haberdashers,4,1,2.0,5
12623381,Old Brentwoods II,Kings College Wimbledon II,4,2,3.0,6
12623383,Old Wykehamists II,Old Harrovians II,3,1,3.0,4
12623382,Old Marlburians,Old Aldenhamians II,2,1,4.0,3
12626270,Old Amplefordians,Old Berkhamstedians,3,7,2.0,10
12626271,Old Epsomians,Old Westminsters II,1,3,3.0,4
12626279,Old Brentwoods III,Old Chigwellians IV,5,1,2.0,6
12624883,Old Cholmeleians III,Old Citizens,2,3,4.0,5
12624884,Old Epsomians,Old Westminsters II,1,3,3.0,4
12621777,Old Wellingtonians,Old Carthusians III,3,2,4.0,5
12614172,KCS Old Boys,Old Chigwellians,0,1,3.0,1
12614169,Old Brentwoods,Old Etonians,0,1,3.0,1
12614170,Old Cholmeleians,Old Carthusians,1,2,4.0,3
12614171,Old Foresters,Lancing Old Boys,0,0,4.0,0
12614173,Old Tonbridgians,Old Harrovians,3,1,3.0,4
12617643,Old King's Scholars,Old Aldenhamians,0,3,2.0,3
